,Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,Year_Founded,Sector_group
712,Awign,Job portal,Early Stage,2020,121526423.72,Bangalore,2016.0,Other
713,NewsReach,Digital Media,Early Stage,2020,1500000.0,Gujarat,2018.0,Other
714,Cashfree,FinTech,Series (A-H),2020,35000000.0,Bangalore,2015.0,Technology
715,Credgenics,FinTech,Early Stage,2020,3000000.0,New Delhi,2018.0,Technology
716,GeoIQ,AI startup,Early Stage,2020,300000.0,Bangalore,2018.0,Other
717,Country Delight,Dairy startup,Series (A-H),2020,25000000.0,Haryana,2015.0,Other
718,Quintype,Content management,Series (A-H),2020,3500000.0,Bangalore,2014.0,Other
719,CARS24,Retail,Series (A-H),2020,200000000.0,Haryana,2015.0,Other
720,Astrogate Labs,Spacetech,Unknown,2020,121526423.72,Bangalore,2017.0,Technology
721,Power Gummies,HealthTech,Latter Stage,2020,121526423.72,New Delhi,2018.0,Technology
722,Cityflo,Transportation,Series (A-H),2020,7000000.0,Mumbai,2015.0,Autommotive & Transportation
723,AlgoBulls,Trading platform,Unknown,2020,200000.0,Mumbai,2019.0,Other
724,Credgenics,FinTech,Early Stage,2020,3000000.0,Gurugram,2018.0,Technology
725,Inntot,Tech company,Unknown,2020,121526423.72,Kerala,2014.0,Technology
726,Ensuredit,FinTech,Early Stage,2020,300000.0,Gurugram,2019.0,Technology
727,Shipsy,AI Company,Series (A-H),2020,6000000.0,Gurugram,2015.0,Other
728,ERPNext,Tech company,Unknown,2020,1000000.0,Mumbai,2008.0,Technology
729,LightSpeedAI,Photonics startup,Unknown,2020,121526423.72,Bangalore,2019.0,Other
730,Grip Invest,FinTech,Early Stage,2020,121526423.72,Gurugram,2020.0,Technology
731,Unacademy,EdTech,Unknown,2020,121526423.72,Bangalore,2015.0,Technology
732,Yellow Classes,EdTech,Early Stage,2020,1300000.0,Gurugram,2020.0,Technology
733,Plum,HealthTech,Unknown,2020,4100000.0,Bangalore,2019.0,Technology
734,STAGE,Entertainment,Unknown,2020,1000000.0,Indore,2019.0,Other
735,Nykaa,Cosmetics,Unknown,2020,121526423.72,Mumbai,2012.0,Other
736,Kaagaz Scanner,Scanning app,Unknown,2020,575000.0,nan,2020.0,Other
737,NIRA,FinTech,Unknown,2020,1000000.0,Bangalore,2017.0,Technology
738,Prolixr,Skincare startup,Early Stage,2020,121526423.72,Gurugram,2018.0,Other
739,Byju's,EdTech,Unknown,2020,200000000.0,Bangalore,2011.0,Technology
740,DaMENSCH,E-commerce,Unknown,2020,6000000.0,Bangalore,2018.0,E-Commerce & Marketplace
741,Country Delight,Food and Beverages,Series (A-H),2020,25000000.0,Haryana,2015.0,Food & Agriculture
742,SignalX,AI startup,Early Stage,2020,800000.0,Hyderabad,2018.0,Other
743,Lancify,EdTech,Unknown,2020,300000.0,Bangalore,2018.0,Technology
744,Krimanshi,Biotechnology company,Early Stage,2020,600000.0,Jodhpur,2015.0,Technology
745,Instoried,AI startup,Early Stage,2020,1000000.0,Bangalore,2018.0,Other
746,PlayerzPot,Gaming startup,Series (A-H),2020,3000000.0,Mumbai,2015.0,Other
747,Instamojo,FinTech,Unknown,2020,121526423.72,Bangalore,2012.0,Technology
748,Turtlemint,HealthTech,Unknown,2020,30000000.0,Mumbai,2015.0,Technology
749,Arata,E-commerce,Early Stage,2020,1000000.0,New Delhi,2017.0,E-Commerce & Marketplace
750,MPL,Gaming startup,Unknown,2020,5000000.0,Bangalore,2018.0,Other
751,True Balance,FinTech,Unknown,2020,28000000.0,Gurugram,2014.0,Technology
752,Thrive,FoodTech,Early Stage,2020,121526423.72,Mumbai,2020.0,Technology
753,Kitchens Centre,Proptech,Early Stage,2020,121526423.72,New Delhi,2019.0,Technology
754,Prescribe,HealthTech,Unknown,2020,100000.0,Chennai,2019.0,Technology
755,Nepra,CleanTech,Series (A-H),2020,18000000.0,Ahmedabad,2006.0,Technology
756,inFeedo,SaaS startup,Unknown,2020,3200000.0,Gurugram,2013.0,Other
757,Shilpa Sciences,HealthTech,Early Stage,2020,121526423.72,Bangalore,2014.0,Technology
758,Arzooo,Tech Startup,Unknown,2020,121526423.72,Bangalore,2016.0,Technology
759,MindTickle,SaaS platform,Latter Stage,2020,100000000.0,Pune,2011.0,Other
760,Slice,FinTech,Latter Stage,2020,5000000.0,Bangalore,2016.0,Technology
761,Rapawalk,E-commerce,Early Stage,2020,300000.0,Bangalore,2017.0,E-Commerce & Marketplace
762,Oga Fit's,Fitness startup,Early Stage,2020,121526423.72,Bangalore,2017.0,Other
763,LAVAL,Cosmetics,Early Stage,2020,121526423.72,Bangalore,2016.0,Other
764,Stride Ventures,Venture capitalist,Unknown,2020,80000000.0,New Delhi,2019.0,Other
765,BlackSoil,FinTech,Unknown,2020,10000000.0,Mumbai,2016.0,Technology
766,Biocon,Healthcare,Unknown,2020,15000000.0,Bangalore,1978.0,Healthcare
767,Clientjoy,SaaS startup,Early Stage,2020,800000.0,Gujarat,2013.0,Other
768,Xpressbees,E-commerce,Unknown,2020,100000000.0,Pune,2015.0,E-Commerce & Marketplace
769,GalaxyCard,FinTech,Early Stage,2020,121526423.72,Gurugram,2017.0,Technology
770,Wellness Forever,HealthTech,Unknown,2020,100000000.0,Mumbai,2008.0,Technology
771,MoooFarm,AgriTech,Early Stage,2020,500000.0,Gurugram,2019.0,Technology
772,BitClass,PaaS startup,Early Stage,2020,2000000.0,Bangalore,2020.0,Other
773,Gonuts,Entertainment,Early Stage,2020,400000.0,Mumbai,2020.0,Other
774,Uolo,EdTech,Early Stage,2020,2000000.0,Bangalore,2013.0,Technology
775,Kirana King,Retail,Early Stage,2020,900000.0,Jaipur,2014.0,Other
776,Jade Forest,Beverages,Early Stage,2020,250000.0,Delhi,Unknown,Food & Agriculture
777,iKure,HealthTech,Unknown,2020,121526423.72,Kolkata,2010.0,Technology
778,FrontRow,EdTech,Early Stage,2020,3200000.0,Bangalore,Unknown,Technology
779,Reliance Retail,E-commerce,Unknown,2020,10000000.0,Mumbai,2006.0,E-Commerce & Marketplace
780,TUBBR,Social Media,Unknown,2020,121526423.72,Frisco,2019.0,Other
781,Ather Energy,Automobiles,Series (A-H),2020,35000000.0,Bangalore,2013.0,Autommotive & Transportation
782,Routematic,SaaS startup,Unknown,2020,2000000.0,Bangalore,2007.0,Other
783,LivFin,FinTech,Unknown,2020,4700000.0,New Delhi,2017.0,Technology
784,Universal Sportsbiz Pvt Ltd,Fashion startup,Unknown,2020,121526423.72,Bangalore,2012.0,Other
785,Lattu Kids,EdTech,Unknown,2020,121526423.72,Mumbai,2017.0,Technology
786,Eggoz,Food & Bevarages,Early Stage,2020,1500000.0,Indore,2016.0,Food & Agriculture
787,Steradian Semiconductors,Deeptech,Unknown,2020,121526423.72,Bangalore,2016.0,Technology
788,CHARGE+ZONE,EV startup,Early Stage,2020,3000000.0,Gujarat,2018.0,Other
789,Stones2milestones,EdTech,Latter Stage,2020,2000000.0,Gurugram,2008.0,Technology
790,Udacity,EdTech,Latter Stage,2020,75000000.0,California,2011.0,Technology
791,AjnaLens,AR/VR startup,Latter Stage,2020,1000000.0,Thane,2014.0,Other
792,Gully Network,E-commerce,Early Stage,2020,1200000.0,Bangalore,2019.0,E-Commerce & Marketplace
793,TurboHire,Recruitment startup,Early Stage,2020,1000000.0,Hyderabad,2018.0,Other
794,Traya,HealthTech,Early Stage,2020,121526423.72,Mumbai,Unknown,Technology
795,Charcoal Eats,QSR startup,Unknown,2020,2000000.0,Mumbai,2015.0,Other
796,Mitron TV,Video platform,Unknown,2020,121526423.72,Bangalore,2020.0,Other
797,Svami,Food & Bevarages,Unknown,2020,800000.0,Mumbai,2016.0,Food & Agriculture
798,Dhurnia,EdTech,Unknown,2020,100000.0,Dhingsara,2018.0,Technology
799,Expertrons,EdTech,Unknown,2020,121526423.72,Mumbai,2019.0,Technology
800,Leena AI,AI startup,Unknown,2020,8000000.0,New York,2015.0,Other
801,Bizlog,Logistics,Unknown,2020,1000000.0,Bangalore,2016.0,Autommotive & Transportation
802,Tamasha.live,Gaming,Unknown,2020,300000.0,Mumbai,2020.0,Other
803,Fedo,AI startup,Unknown,2020,1000000.0,Bangalore,2017.0,Other
804,FabHotels,Hospitality,Unknown,2020,1000000.0,Gurugram,2015.0,Other
805,Freshokartz,AgriTech,Early Stage,2020,1000000.0,Jaipur,2016.0,Technology
806,FlexiLoans,FinTech,Latter Stage,2020,6000000.0,Mumbai,2016.0,Technology
807,Agrix,AgriTech,Unknown,2020,121526423.72,Patna,2020.0,Technology
808,BharatAgri,AgriTech,Early Stage,2020,121526423.72,Pune,2017.0,Technology
809,FreshtoHome,E-commerce,Series (A-H),2020,121000000.0,Bangalore,2015.0,E-Commerce & Marketplace
810,Credable,FinTech,Unknown,2020,4500000.0,Mumbai,2017.0,Technology
811,Railofy,Transportation,Early Stage,2020,5000000.0,Mumbai,2019.0,Autommotive & Transportation
812,Finova Capital,FinTech,Unknown,2020,55000000.0,Jaipur,2016.0,Technology
813,Teachmint,Edtech,Early Stage,2020,3500000.0,Bangalore,2020.0,Technology
814,Peel-Works,E-commerce,Unknown,2020,3000000.0,Mumbai,2010.0,E-Commerce & Marketplace
815,Janani,Fertility tech,Early Stage,2020,200000.0,Bangalore,2020.0,Technology
816,Credgenics,FinTech,Early Stage,2020,3300000.0,Gurugram,2018.0,Technology
817,Finelistings,Luxury car startup,Unknown,2020,121526423.72,New Delhi,2015.0,Other
818,Wellversed,Healthcare,Early Stage,2020,121526423.72,New Delhi,2018.0,Healthcare
819,Jumbotail,E-commerce,Series (A-H),2020,11000000.0,Bangalore,2015.0,E-Commerce & Marketplace
820,Winzo,Gaming startup,Unknown,2020,2000000.0,New Delhi,2018.0,Other
821,mCaffeine,Cosmetics,Series (A-H),2020,5000000.0,Mumbai,2015.0,Other
822,Pocket FM,FM,Series (A-H),2020,5000000.0,Bangalore,2018.0,Other
823,Snackible,Healthcare,Latter Stage,2020,121526423.72,Mumbai,2015.0,Healthcare
824,FreshtoHome,E-commerce,Unknown,2020,16000000.0,Bangalore,2015.0,E-Commerce & Marketplace
825,Jumbotail,Retail,Series (A-H),2020,11000000.0,Bangalore,2015.0,Other
826,Nykaa,E-commerce,Unknown,2020,121526423.72,Mumbai,2012.0,E-Commerce & Marketplace
827,TagZ Foods,Food,Unknown,2020,121526423.72,Bangalore,2019.0,Food & Agriculture
828,Genius Teacher,Edtech,Unknown,2020,2000000.0,Mumbai,2016.0,Technology
829,Krimanshi Feeds,Nutrition sector,Unknown,2020,500000.0,Jodhpur,2015.0,Other
830,Origo,AgriTech,Latter Stage,2020,4000000.0,Gurugram,2010.0,Technology
831,GetVantage,FinTech,Early Stage,2020,5000000.0,Mumbai,2019.0,Technology
832,Betterplace,Tech platform,Series (A-H),2020,10000000.0,Bangalore,2015.0,Technology
833,Biddano,Healthcare,Early Stage,2020,600000.0,Mumbai,2016.0,Healthcare
834,InVideo,Video,Series (A-H),2020,15000000.0,Mumbai,2017.0,Other
835,Arzooo,Retail Tech,Series (A-H),2020,7500000.0,Bangalore,2016.0,Technology
836,Hubilo,Tech company,Early Stage,2020,4500000.0,San Francisco,2020.0,Technology
837,BASIC Home Loan,FinTech,Early Stage,2020,5000000.0,Gurugram,2020.0,Technology
838,Ketos,AI startup,Unknown,2020,18000000.0,San Francisco,2015.0,Other
839,SUGAR cosmetics,Cosmetics,Latter Stage,2020,2000000.0,Mumbai,2012.0,Other
840,Signzy,FinTech,Unknown,2020,5400000.0,Bangalore,2015.0,Technology
841,Ahaguru,Edtech,Series (A-H),2020,121526423.72,Chennai,2012.0,Technology
842,Tekion,AI startup,Series (A-H),2020,150000000.0,San Ramon,2016.0,Other
843,Brighteye Ventures,Edtech,Unknown,2020,5400000.0,Paris,2017.0,Technology
844,EzeRx,Medtech,Early Stage,2020,200000.0,Kolkata,2018.0,Technology
845,VitalTech,HeathTech,Early Stage,2020,3000000.0,Plano,2018.0,Technology
846,Genius Teacher,Edtech,Unknown,2020,2000000.0,Mumbai,2016.0,Technology
847,Ultraviolette Automotive,Automobiles,Series (A-H),2020,4000000.0,Bangalore,2014.0,Autommotive & Transportation
848,Tring,Social Media,Unknown,2020,121526423.72,Mumbai,2019.0,Other
849,Rare Planet,Retail startup,Early Stage,2020,400000.0,Kolkata,2015.0,Other
850,GoodGamer,Gaming,Early Stage,2020,2500000.0,Bangalore,2020.0,Other
851,InnAccel,Medtech,Early Stage,2020,1500000.0,Bangalore,2012.0,Technology
852,Tiliter,Retail,Unknown,2020,7500000.0,Sydney,2017.0,Other
853,Slintel,Sles and marketing,Unknown,2020,4200000.0,San Francisco Bay Area,2016.0,E-Commerce & Marketplace
854,SoOLEGAL,LegalTech,Unknown,2020,4000000.0,New Delhi,2015.0,Technology
855,HobSpace,Edtech,Early Stage,2020,200000.0,Mumbai,2019.0,Technology
856,Supplynote,SaaS startup,Early Stage,2020,500000.0,Noida,2015.0,Other
857,Hire Me Car,Car Service,Early Stage,2020,121526423.72,Noida,Unknown,Other
858,ShopUp,E-commerce,Series (A-H),2020,22000000.0,Bangaldesh,2017.0,E-Commerce & Marketplace
859,Harmonizer India,Tech Startup,Unknown,2020,121526423.72,Bangalore,2019.0,Technology
860,Zomato,FoodTech,Unknown,2020,52000000.0,Gurugram,2008.0,Technology
861,Dukaan,Tech Startup,Early Stage,2020,6000000.0,Mumbai,2020.0,Technology
862,CredR,Bike marketplace,Unknown,2020,2000000.0,Mumbai,2014.0,E-Commerce & Marketplace
863,Satyukt,Agri tech,Early Stage,2020,500000.0,Bangalore,2018.0,Technology
864,RACEnergy,Automobiles,Unknown,2020,121526423.72,Hyderabad,2018.0,Autommotive & Transportation
865,TREAD,Fitness startup,Early Stage,2020,1100000.0,Bangalore,2020.0,Other
866,Anveshan,FoodTech,Early Stage,2020,100000.0,Bangalore,2019.0,Technology
867,TeaMonk,Food & Bevarages,Early Stage,2020,900000.0,Bangalore,2016.0,Food & Agriculture
868,Fleetx,Tech Startup,Early Stage,2020,3000000.0,Gurugram,2017.0,Technology
869,ReNEWate,Real Estate,Early Stage,2020,121526423.72,Pune,2018.0,Real Estate & Property
870,Tango Eye,SaaS startup,Early Stage,2020,121526423.72,Chennai,2018.0,Other
871,Rare Planet,Reatil startup,Early Stage,2020,121526423.72,Kolkata,2015.0,Other
872,Avataa Me,AR platform,Series (A-H),2020,7000000.0,Bangalore,2014.0,Other
873,Arrival,EV startup,Unknown,2020,118000000.0,London,2015.0,Other
874,Cover Genius,FinTech,Unknown,2020,15000000.0,Sydney,2014.0,Technology
875,Phononic Vibes,Deeptech,Unknown,2020,2300000.0,Milano,2018.0,Technology
876,MikeLegal,LegalTech,Early Stage,2020,121526423.72,Gurugram,2017.0,Technology
877,Clair,FinTech,Early Stage,2020,4500000.0,New York,2019.0,Technology
878,Gourmet Garden,Consumer Goods,Unknown,2020,121526423.72,Palmwoods,1999.0,Other
879,Miko,AI startup,Early Stage,2020,3000000.0,Mumbai,2015.0,Other
880,Razorpay,FinTech,Series (A-H),2020,100000000.0,Bangalore,2014.0,Technology
881,Ninjacart,Food Industry,Unknown,2020,30000000.0,Bangalore,2015.0,Food & Agriculture
882,Wow! Momo,Food Industry,Latter Stage,2020,5000000.0,Kolkata,2008.0,Food & Agriculture
883,Pepper Content,Content marketplace,Series (A-H),2020,4200000.0,Mumbai,2017.0,E-Commerce & Marketplace
884,LIVSPACE,Interior Design,Latter Stage,2020,4000000.0,Bangalore,2014.0,Other
885,Acculi Labs,Healthcare,Early Stage,2020,600000.0,Bangalore,2017.0,Healthcare
886,Your MD,Healthcare,Unknown,2020,25000000.0,London,2012.0,Healthcare
887,Antaios,Tech company,Unknown,2020,11000000.0,France,2016.0,Technology
888,Unnati,AgriTech,Early Stage,2020,1700000.0,Noida,2017.0,Technology
889,Disprz,Edtech,Early Stage,2020,1600000.0,Chennai,2015.0,Technology
890,Uni,FinTech,Early Stage,2020,18500000.0,Mumbai,Unknown,Technology
891,Credit Wise Capital,FinTech,Early Stage,2020,6000000.0,Mumbai,1994.0,Technology
892,Chargebee,SaaS startup,Series (A-H),2020,55000000.0,San Francisco Bay Area,2011.0,Other
893,Reliance Retail Ventures Ltd,Retail,Unknown,2020,70000000000.0,Mumbai,2006.0,Other
894,Winuall,Edtech,Unknown,2020,2000000.0,Bangalore,2019.0,Technology
895,Genrobotics,AI startup,Unknown,2020,300000.0,Trivandrum,2015.0,Other
896,Livve,Rental space,Early Stage,2020,1500000.0,Cochin,2015.0,Other
897,Ergos,AgriTech,Series (A-H),2020,5000000.0,Samastipur,2012.0,Technology
898,Krishitantra,Soil-Tech,Early Stage,2020,1000000.0,Hyderabad,2017.0,Technology
899,PakkaProfile,Recruitment startup,Early Stage,2020,121526423.72,Bangalore,2019.0,Other
900,Monet Networks,AI startup,Latter Stage,2020,500000.0,Irvine,2014.0,Other
901,Unocoin,FinTech,Series (A-H),2020,121526423.72,Tumkur,2013.0,Technology
902,Pesto,Edtech,Unknown,2020,121526423.72,New Delhi,2017.0,Technology
903,NirogStreet,Ayurveda tech,Early Stage,2020,2000000.0,Gurugram,2016.0,Technology
904,Bambrew,Packaging solution startup,Early Stage,2020,121526423.72,Bangalore,2018.0,Other
905,Omnify,SaaS startup,Early Stage,2020,121526423.72,San Francisco Bay Area,2016.0,Other
906,Fanball XI,Gaming,Early Stage,2020,1000000.0,New Delhi,Unknown,Other
907,Treebo Hotels,Hospitality,Unknown,2020,6000000.0,Bangalore,2015.0,Other
908,GPS Renewables,Cleantech,Series (A-H),2020,3000000.0,Bangalore,2010.0,Technology
909,Public,Social Media,Unknown,2020,30000000.0,New Delhi,2019.0,Other
910,Legal Salah,LegalTech,Early Stage,2020,1000000.0,Kolkata,2015.0,Technology
911,FanPlay,Gaming,Early Stage,2020,121526423.72,New Delhi,2018.0,Other
912,ECOSTP,Sanitation solutions,Unknown,2020,19000000.0,Bangalore,2017.0,Other
913,Coralogix,SaaS startup,Series (A-H),2020,25000000.0,San Francisco,2013.0,Other
914,Equiwatt,Tech company,Unknown,2020,300000.0,Newcastle Upon Tyne,2015.0,Technology
915,Reliance Retail Ventures,E-commerce,Unknown,2020,800000000.0,Mumbai,2006.0,E-Commerce & Marketplace
916,Zhangmen,Edtech,Unknown,2020,400000000.0,Shanghai,2005.0,Technology
917,AgroWave,AgriTech,Unknown,2020,500000.0,Gurugram,2017.0,Technology
918,Sapio Analytics,Tech company,Unknown,2020,150000.0,Mumbai,2018.0,Technology
919,Taimei,HealthCare,Unknown,2020,176000000.0,Jiaxing,2013.0,Healthcare
920,Avanse Financial Services,FinTech,Unknown,2020,15000000.0,Mumbai,2012.0,Technology
921,Industry Buying,E-commerce,Unknown,2020,15000000.0,New Delhi,2013.0,E-Commerce & Marketplace
922,Hopscotch,E-commerce,Unknown,2020,25000000.0,Mumbai,2011.0,E-Commerce & Marketplace
923,Pristyn Care,HealthCare,Unknown,2020,11000000.0,Gurugram,2018.0,Healthcare
924,WoodenStreet,Home Design,Unknown,2020,1000000.0,Rajastan,2015.0,Other
925,ACKO,InsureTech,Unknown,2020,60000000.0,Mumbai,2016.0,Technology
926,Farmers Fresh Zone,AgriTech,Unknown,2020,470000.0,Kochi,2015.0,Technology
927,Invento,AI Startup,Unknown,2020,121526423.72,Bangalore,2016.0,Other
928,Infurnia,Tech Startup,Unknown,2020,240000.0,Bangalore,2014.0,Technology
929,AnalytIQSports's SuperCric,Entertainment,Unknown,2020,121526423.72,Bangalore,2019.0,Other
930,Snowflake,Tech company,Unknown,2020,3000000000.0,California,2012.0,Technology
931,GenieTalk,Tech company,Unknown,2020,750000.0,Indore,2016.0,Technology
932,Classplus,EdTech,Unknown,2020,10000000.0,Noida,2018.0,Technology
933,Mobile Premier League,Entertainment,Unknown,2020,74000000.0,Bangalore,2018.0,Other
934,Fourth Partner Energy,Solar solution,Unknown,2020,16000000.0,Hyderabad,2010.0,Other
935,Flipkart,E-commerce,Unknown,2020,62000000.0,Bangalore,2007.0,E-Commerce & Marketplace
936,Vivriti Capital,FinTech,Unknown,2020,1000000.0,Chennai,2017.0,Technology
937,InsuranceDekho,FinTech,Unknown,2020,20000000.0,Ludhiana,2017.0,Technology
938,BestDoc,HealthCare,Unknown,2020,2100000.0,Kochi,2016.0,Healthcare
939,Byju’s,EdTech,Unknown,2020,500000000.0,Bangalore,2011.0,Technology
940,Melorra,Jewellery startup,Unknown,2020,12500000.0,Bangalore,2015.0,Healthcare
941,Reliance,Multinational conglomerate company,Unknown,2020,2200000000.0,Mumbai,1973.0,Other
942,Inflexor Ventures,FinTech,Unknown,2020,10000000.0,Mumbai,2020.0,Technology
943,Pandorum,Deeptech startup,Unknown,2020,5060000.0,Bangalore,2011.0,Technology
944,SpeakIn,Social Network,Unknown,2020,121526423.72,Noida,2018.0,Other
945,LetsUp,Publication,Unknown,2020,121526423.72,Mumbai,2015.0,Other
946,Newsreach,Publication,Unknown,2020,121526423.72,Gujarat,2018.0,Other
947,Dream11,Entertainment,Unknown,2020,225000000.0,Mumbai,2008.0,Other
948,SignalX,SaaS platform,Unknown,2020,750000.0,Hyderabad,2018.0,Other
949,JetSynthesys,Tech,Unknown,2020,40000000.0,Mumbai,2012.0,Technology
950,Vesta Space Technology,Tech Startup,Unknown,2020,10000000.0,Pune,2018.0,Technology
951,Dozee,HealthTech,Unknown,2020,1600000.0,Bangalore,2015.0,Technology
952,Rebel Foods,Food,Unknown,2020,50000000.0,Pune,2011.0,Food & Agriculture
953,Nykaa,Fashion,Unknown,2020,24700000.0,Mumbai,2012.0,Other
954,Ketto,Finance,Unknown,2020,7700000.0,Mumbai,2012.0,Finance & Banking
955,Suryoday,Finance,Unknown,2020,800000.0,Mumbai,2008.0,Finance & Banking
956,SucSEED,Finance,Unknown,2020,1300000.0,Hyderabad,2016.0,Finance & Banking
957,Unacademy,EdTech,Unknown,2020,150000000.0,Bangalore,2015.0,Technology
958,Strata,Real Estate,Unknown,2020,19067328.0,Bangalore,2019.0,Real Estate & Property
959,3one4 Capital,Venture capital,Unknown,2020,100000000.0,Bangalore,2016.0,Other
960,WE-Hub,Entreprenurship,Unknown,2020,121526423.72,Hyderabad,2018.0,Other
961,Zomato,Food devlivery,Unknown,2020,62000000.0,Haryana,2008.0,Food & Agriculture
962,Vicara,Tech Startup,Unknown,2020,121526423.72,Bangalore,2017.0,Technology
963,Gaana,Entertainment,Unknown,2020,51000000.0,Gurugram,2010.0,Other
964,EM3 Agri,AgriTech,Unknown,2020,1000000.0,Noida,2013.0,Technology
965,Plum,Cosmetics,Unknown,2020,115000.0,Thane,2013.0,Other
966,Odwen,Warehouse,Unknown,2020,54000.0,Noida,2018.0,Other
967,Fasal,AgriTech,Unknown,2020,20000.0,Bangalore,2018.0,Technology
968,Trukky,Logistics,Unknown,2020,121526423.72,Ahmedabad,2015.0,Autommotive & Transportation
969,BankBazaar,Online financial service,Unknown,2020,9000000.0,Chennai,2008.0,Other
970,Specsmakers,Eyeglasses,Unknown,2020,3000000.0,Chennai,2011.0,Other
971,Grinntech,Battery design,Unknown,2020,2000000.0,Dehradun,2013.0,Other
972,CreditMantri,Online credit management startup,Unknown,2020,803146.0,Chennai,2012.0,Finance & Banking
973,Chai Waale,Beverage,Unknown,2020,238000.0,Chennai,2018.0,Food & Agriculture
974,Deepsync,Tech Startup,Unknown,2020,300000.0,Bangalore,2018.0,Technology
975,ConnectedH,HealthCare,Unknown,2020,121526423.72,Gurugram,2016.0,Healthcare
976,Reliance Retail,E-commerce,Unknown,2020,10220000.0,Mumbai,2006.0,E-Commerce & Marketplace
977,QShala,EdTech,Unknown,2020,300000.0,Bangalore,2014.0,Technology
978,Pitstop,Car Service,Unknown,2020,1020000.0,Bangalore,2015.0,Other
979,Zomato,Food devlivery,Unknown,2020,100000000.0,Haryana,2008.0,Food & Agriculture
980,Customfit ai,SaaS startup,Unknown,2020,121526423.72,Bangalore,2019.0,Other
981,Nirmata,Tech,Unknown,2020,121526423.72,San Franciscao,2013.0,Technology
982,Hire Me Car,TravelTech,Early Stage,2020,121526423.72,Noida,2015.0,Technology
983,Oga Fit,Fitness startup,Early Stage,2020,121526423.72,Bangalore,2017.0,Other
984,ShipsKart,E-commerce,Early Stage,2020,200000.0,New Delhi,2018.0,E-Commerce & Marketplace
985,SquadStack,Tech company,Series (A-H),2020,5000000.0,San Francisco,2014.0,Technology
986,Financepeer,EdTech,Early Stage,2020,3000000.0,Mumbai,2017.0,Technology
987,Cashify,E-commerce,Latter Stage,2020,10000000.0,Gurugram,2009.0,E-Commerce & Marketplace
988,Etrio,EV startup,Series (A-H),2020,3000000.0,Hyderabad,2017.0,Other
989,Codeyoung,EdTech,Early Stage,2020,121526423.72,Bangalore,2019.0,Technology
990,StayQrious,EdTech,Early Stage,2020,2000000.0,Bangalore,2020.0,Technology
991,Sunstone Eduversity,EdTech,Series (A-H),2020,3000000.0,Gurugram,2014.0,Technology
992,Infilect,SaaS startup,Early Stage,2020,1500000.0,Bangalore,2015.0,Other
993,MobiGarage,E-commerce,Early Stage,2020,121526423.72,New Delhi,2017.0,E-Commerce & Marketplace
994,Samunnati,Agriculture,Latter Stage,2020,20000000.0,Chennai,2014.0,Food & Agriculture
995,WeInnovate Biosolutions,Startup laboratory,Early Stage,2020,121526423.72,Pune,2016.0,Other
996,Yummy Corp,Food Industry,Series (A-H),2020,12000000.0,Tangerang,2017.0,Food & Agriculture
997,Smallcase,FinTech,Series (A-H),2020,13400000.0,Bangalore,2015.0,Technology
998,Clairvolex,Tech Startup,Latter Stage,2020,2000000.0,California,2006.0,Technology
999,Assiduus,E-commerce,Series (A-H),2020,1000000.0,Bangalore,Unknown,E-Commerce & Marketplace
1000,Brinton,HealthTech,Latter Stage,2020,1300000.0,California,2014.0,Technology
1001,AFK Gaming,Entertainment,Early Stage,2020,200000.0,Mumbai,2012.0,Other
1002,Infarm,AgriTech,Series (A-H),2020,170000000.0,Berlin,2013.0,Technology
1003,Zuper,SaaS startup,Early Stage,2020,1100000.0,Seattle,2016.0,Other
1004,mCaffeine,Personal care startup,Series (A-H),2020,2900000.0,Mumbai,2015.0,Other
1005,Origa,FinTech,Latter Stage,2020,2000000.0,Andheri,2013.0,Technology
1006,GullyBuy Software,Tech Startup,Early Stage,2020,543000.0,Pune,2019.0,Technology
1007,Recordent,FinTech,Early Stage,2020,121526423.72,Hyderabad,2019.0,Technology
1008,MPL,Entertainment,Series (A-H),2020,90000000.0,Bangalore,2018.0,Other
1009,Penny,SaaS startup,Early Stage,2020,1300000.0,Riyadh,2020.0,Other
1010,Onsitego,Customer service company,Series (A-H),2020,30000000.0,Mumbai,2010.0,Other
1011,Precily,SaaS  startup,Early Stage,2020,121526423.72,California,2017.0,Other
1012,SmartClean,Tech Startup,Early Stage,2020,3400000.0,Singapore,2017.0,Technology
1013,ClanConnect,Marketing startup,Early Stage,2020,600000.0,Delhi,Unknown,E-Commerce & Marketplace
1014,Servify,Service industry,Series (A-H),2020,23000000.0,Mumbai,2015.0,Other
1015,ShareChat,Social media,Early Stage,2020,40000000.0,Bangalore,2015.0,Other
1016,Rephrase.ai,AI,Early Stage,2020,1500000.0,Bangalore,2018.0,Other
1017,Melorra,Jewellery,Latter Stage,2020,8090000.0,Bangalore,2015.0,Healthcare
1018,FabHotels,Hospitality,Series (A-H),2020,1030000.0,Gurugram,2014.0,Other
1019,EkAnek,Tech Startup,Latter Stage,2020,5040000.0,New Delhi,2018.0,Technology
1020,Cub McPaws,AR startup,Early Stage,2020,800000.0,Mumbai,2018.0,Other
1021,Zimyo,HR Tech startup,Early Stage,2020,1500000.0,Gurugram,2018.0,Technology
1022,PumPumPum,Automotive Startup,Latter Stage,2020,360000.0,Gurugram,2018.0,Autommotive & Transportation
